,통계청행정동코드,행정동코드,시도명,시군구명,행정동명
32,1103051,11170510,서울,용산구,후암동
33,1103052,11170520,서울,용산구,용산2가동
34,1103053,11170530,서울,용산구,남영동
35,1103057,11170570,서울,용산구,원효로2동
36,1103058,11170580,서울,용산구,효창동
37,1103059,11170590,서울,용산구,용문동
38,1103063,11170630,서울,용산구,이촌1동
39,1103064,11170640,서울,용산구,이촌2동
40,1103065,11170650,서울,용산구,이태원1동
41,1103066,11170660,서울,용산구,이태원2동
42,1103069,11170690,서울,용산구,서빙고동
43,1103070,11170700,서울,용산구,보광동
44,1103071,11170555,서울,용산구,청파동
45,1103072,11170560,서울,용산구,원효로1동
46,1103073,11170625,서울,용산구,한강로동
47,1103074,11170685,서울,용산구,한남동
